"Sequence Number",Count,Sequence Number,Count,States
0,9356,0,9302,Dehydrated
1,9332,1,9298,Dehydrated
2,9322,2,9295,Dehydrated
3,9336,3,9263,Dehydrated
4,9352,4,9333,Dehydrated
5,9356,5,9302,Dehydrated
6,9363,6,9320,Dehydrated
7,9376,7,9326,Dehydrated
8,9377,8,9304,Dehydrated
9,9374,9,9280,Dehydrated
10,9343,10,9359,Dehydrated
11,9363,11,9365,Dehydrated
12,9313,12,9277,Dehydrated
13,9361,13,9307,Dehydrated
14,9362,14,9394,Dehydrated
15,9361,15,9374,Dehydrated
16,9357,16,9253,Dehydrated
17,9349,17,9278,Dehydrated
18,9352,18,9348,Dehydrated
19,9368,19,9339,Dehydrated
20,9361,20,9346,Dehydrated
21,9338,21,9338,Dehydrated
22,9392,22,9339,Dehydrated
23,9375,23,9383,Dehydrated
24,9357,24,9337,Dehydrated
25,9363,25,9326,Dehydrated
26,9369,26,9321,Dehydrated
27,9386,27,9321,Dehydrated
28,9368,28,9379,Dehydrated
29,9378,29,9342,Dehydrated
30,9387,30,9341,Dehydrated
31,9407,31,9364,Dehydrated
32,9379,32,9377,Dehydrated
33,9389,33,9346,Dehydrated
34,9372,34,9350,Dehydrated
35,9370,35,9353,Dehydrated
36,9384,36,9376,Dehydrated
37,9372,37,9384,Dehydrated
38,9369,38,9362,Dehydrated
39,9383,39,9341,Dehydrated
40,9342,40,9380,Dehydrated
41,9382,41,9374,Dehydrated
42,9368,42,9384,Dehydrated
43,9363,43,9374,Dehydrated
44,9384,44,9377,Dehydrated
45,9393,45,9373,Dehydrated
46,9360,46,9377,Dehydrated
47,9357,47,9353,Dehydrated
48,9378,48,9357,Dehydrated
49,9363,49,9382,Dehydrated
50,9381,50,9345,Dehydrated
51,9381,51,9367,Dehydrated
52,9381,52,9360,Dehydrated
53,9360,53,9374,Dehydrated
54,9376,54,9363,Dehydrated
55,9363,55,9336,Dehydrated
56,9380,56,9351,Dehydrated
57,9380,57,9338,Dehydrated
58,9387,58,9320,Dehydrated
59,9376,59,9331,Dehydrated
60,9363,60,9315,
